ID	Label	Text
69	Dry	FAMOUS LAST WORDS   "One sec, I've got to go the bathroom!"  :)  "It doesn't hurt... that... bad..."  "This stuff works just as well!"  "It looks like it's coming right towards us!"  "Here, let me handle this, forget the cops!"  "I read this in a 'how-to' magazine once."  "No I'm not a skydiver, but I did stay at a Holiday Inn Express Last Night."  "Proper equipment is for rich people."  "I don't know. Let's find out!"  "I did it in a video game last night."  "Did you hear that? Sounded like something big. Where's that flashlight?"  And finally...                             "OH SHIT!!!!"
70	Wordplay	What do you call an Irishman sitting in your backyard?  Paddy O'Furniture
71	Random/Absurd	Q. What's worse than raining cats and dogs?  A. Hailing taxicabs!
72	Wordplay	Ghost Stories by I.C. Spooks  Rocket to the sun by R.U.Nuts  Your Book of Glamour by Q.T Pie  The Camel Ride by Major Bum - issore  How to Grow Shorter by Neil Down  How to Grow Taller by Stan Dup
73	Wordplay	The Chinese say: Baseball is wrong. Man with four balls cannot walk.
74	Wordplay	Men who walk in front of car get tired. Men who walk in back of car get exhausted.
75	Mockery	Q: What's the difference between a girls track team and a tribe of pygmies?  A: The pygmies are cunning little runts.
76	Dry	Middle Age: when knees buckle and belts don't.
77	Wordplay	Navy dentist's licence plate: TOP GUM
78	Satire/Parody	Poise: the ability to continue speaking fluently while the other fellow is picking up the cheque.
79	Mockery	He who laughs last, thinks slowest.
80	Mockery	What's the difference between a Ford and a golf ball?  You can drive a golf ball 200 yards.
81	Wordplay	Q: What's the difference between Snowmen and Snowwomen?  A: Snowballs
82	Satire/Parody	If Barbie is so popular, why do you have to buy all her friends?
83	Wordplay	There are three kinds of people in this world, those who can count, and those who can not!
84	Satire/Parody	Vacation begins when dad says. "I know a shortcut"!
85	Wordplay	Energizer Bunny arrested... charged with battery.
86	Satire/Parody	Lottery, a tax on people who can't do math
87	Wordplay	all generalizations are false
88	Satire/Parody	Eat right, stay fit, die anyway!
89	Satire/Parody	IRS... we've got what it takes, to take what you've got
90	Dry	Laugh alone and the world thinks you're an idiot.
91	Wordplay	DNA, national dyslexic association
92	Satire/Parody	Be nice to your kids, they'll choose your nursing home.
93	Wordplay	I don't suffer from insanity... I enjoy every minute of it.
94	Dry	No one is listening to you until you make a mistake.
95	Wordplay	Dyslexics of the world, untie!
96	Satire/Parody	DARE, to keep cops off donuts
97	Anti-joke	On the other hand, you have different fingers.
98	Wordplay	Save a tree, eat a beaver!!
99	Wordplay	Nothing is fool proof to a sufficiently talented fool.
100	Wordplay	Sometimes I wake up grumpy, other times I let her sleep.
101	Anti-joke	Always remember that you are unique, just like everybody else!
102	Random/Absurd	Always go to other peoples funerals, or they wont come to yours.
103	Dry	Everywhere is within walking distance if you have the time.
104	Satire/Parody	Bills travel through the mail at twice the speed of checks.
105	Wordplay	Nobody's perfect-I'm a nobody.
106	Dry	Ask me about my vow of silence..
107	Wordplay	Courdory pillows--they're making headlines.
108	Wordplay	What is another word for Thesaurus?
109	Mockery	The hardness of butter is directly proportional to the softness of bread.
110	Wordplay	Her name was Virginia.  They called her Virgin for short, but not for long!
111	Random/Absurd	And out of the night came the terrible scream, "Who put the sand in the Vaseline!?"
112	Anti-joke	What's the difference between two yards?   A. Usually a fence.
113	Wordplay	When physics meets Star Wars:   May the net force be with you!
114	Wordplay	Q. What do you call a guy that sits on your doorstep?  A. A Matt.
115	Wordplay	What disasters would happen if a waiter dropped a plate of turkey?   The  downfall of Greece,  the overthrow of Turkey  and the break up of China
116	Mockery	Borrow money from a pessimist---They don't expect it back.
117	Dry	A clear conscience is usually the sign of a bad memory.
118	Satire/Parody	A man said his credit card was stolen but he decided not to report it because the thief was spending less than his wife did.
119	Wordplay	A three-legged dog walks into a saloon in the Old West. He sidles up to the bar and announces "I'm looking for the man who shot my paw."
120	Satire/Parody	When is it Michael Jackson's bed time?       When the little hand meets the big hand.
121	Satire/Parody	What do you call happiness?        Seeing your mother-in-law's photo on the back of a milk carton!
122	Satire/Parody	What's the difference between an alchoholic & a drug addict?     The alchoholic drives over the stop sign, while the drug addict waits for it to turn green.
123	Satire/Parody	Q.   What's the difference between a paycheck and your dick ?        A.   You don't have to beg a woman to blow your paycheck.
124	Random/Absurd	Q.   What are the small bumps around a woman's' nipples for ?        A.   They are Braille for "suck here".
125	Wordplay	Q.   What's the difference between a woman and a coffin ?         A.   You come in one and go in the other.
126	Mockery	Q.   Why do husbands die before their wives ?           A.   They want to
127	Mockery	Q.   What's the difference between a woman with PMS and a pitbull ?          A.    Lipstick.
128	Wordplay	What is a horse's favourite Shakepearean play?  Rodeo and Juliet
129	Wordplay	Q)Where do penguins go to dance? A)The snowball
130	Wordplay	Q)Where do eskimo pigs live? A)In a pigloo.
131	Wordplay	Q)Why does a traffic light turn red? A)You would to if you had to change in front of all those people.
132	Anti-joke	Q)what do you call a polar bear in the jungle? A)lost!
133	Anti-joke	Q)A hippo is sitting on your chair....what time is it? A)Time to get a new chair
134	Wordplay	Q: What do you get when a rooster crosses a duck? A: A bird that gets up at the quack of dawn!
135	Anti-joke	Q.Why shouldn't you wear snow boots? A.Because they will melt!
136	Wordplay	Q. Why would Snow White be a good judge? A.Because she's the fairest in the land.
137	Wordplay	Q.Where do tough chickens come from? A.Hard boiled eggs!
138	Wordplay	Q.Why did the house go to the doctor? A.To get a cure for his window pane!
139	Wordplay	What did the chef name his son? Stu
140	Wordplay	How do you fix a broken tomato? With tomato paste!
141	Wordplay	What did the cat say to the elephant?  "......................meOW!"
142	Wordplay	The Lazy Boy, by Yu Doit
143	Wordplay	What do soccer players drink?  Penaltea!
144	Wordplay	Why does Santa have 3 gardens?   So he can ho ho ho.
145	Anti-joke	Why do firemen use red suspenders?  To hold their pants up!!!
146	Satire/Parody	What do you call a herd of white people? Avalanche What do you call a herd of black people? Mudslide What do you call a herd of mexicans? Jailbreak!
147	Wordplay	Friends are like condoms, they protect you when things get hard.
148	Dry	Grandchildren are God's reward for not killing your children.
149	Wordplay	Where should a dressmaker live?  On the outskirts of the city.
150	Wordplay	Why was the broom tired?  It over swept.
151	Random/Absurd	Two white horses fell in the mud and three came out.
152	Wordplay	What kind of soup weighs 1000 pounds?  Won ton soup!
153	Mockery	You know that you're a really boring person when someone steals your identity and then tries to give it back.
154	Wordplay	Which came first - the chicken or the egg?    It depends on who got laid first!
155	Satire/Parody	There was a young hooker named Gail whose price was tattooed on her tail. And on her behind, for the sake of the blind, was the same information in Braille.
156	Wordplay	Hygiene Teacher: How can you prevent diseases caused by biting insects?   Jose: Don't bite any.
157	Satire/Parody	First guy (proudly): "My wife's an angel!"  Second guy: "You're lucky, mine's still alive."
158	Satire/Parody	Do you know the punishment for bigamy?   Two mothers-in-law.
159	Anti-joke	Teacher: Willy, name one important thing we have today that we didn't have ten years ago.   Willy: Me
160	Satire/Parody	Just think, if it weren't for marriage,  men would go through life thinking they had no faults at all.
161	Satire/Parody	If the entire world was a stage and God was the director, what we need is a rehearsal.
162	Satire/Parody	Why don't women blink during foreplay?  They don't have time.
163	Satire/Parody	What do you call a woman who knows where her husband is every night?  A widow.
164	Mockery	How are men and parking spots alike?  Good ones are always taken. Free ones are mostly handicapped or extremely short.
165	Wordplay	The zoology teacher asked a small boy to make a sentence using the word "possum."  He answered, "Maw got horny and gave possum."
166	Wordplay	A guy walks into a bar wearing a pair of jumper cables around his neck.   The bartender looks at him and says, "Hey buddy, don't try to start anything..."
167	Satire/Parody	The only reason I would take up jogging is so that I could hear heavy breathing again.
168	Mockery	What's the best form of birth control after 50?    Nudity.
169	Satire/Parody	What's the difference between a girlfriend and a wife?    45 lbs.
170	Satire/Parody	What's the difference between a boyfriend and a husband?    45 minutes.
171	Satire/Parody	What's the difference between a new husband and a new dog?    After a year, the dog is still excited to see you.
172	Satire/Parody	What makes men chase women they have no intention of marrying?    The same urge that makes dogs chase cars they have no intention of driving.
173	Mockery	Why does the bride always wear white?    Because it's good for the dishwasher to match the stove and refrigerator.
174	Wordplay	Why don't bunnies make noise when they have sex?    Because they have cotton balls.
175	Wordplay	What's the difference between Beer Nuts and Deer Nuts?    Beer Nuts are $1, and Deer Nuts are always under a buck.
176	Random/Absurd	What's the difference between a toad and a horny toad?  One says "Ribbit ribbit" and the other says "Rubbit rubbit".
177	Random/Absurd	So Many Men, So Few Who Can Afford Me.  God Made Us Sisters, Prozac Made Us Friends.  My Mother Is A Travel Agent For Guilt Trips.  Princess, Having Had Sufficient Experience With Princes, Seeks Frog.  Coffee, Chocolate, Men ... Some Things Are Just Better Rich.  Don't Treat Me Any Differently Than You Would The Queen  Warning: I Have An Attitude And I Know How To Use It.  Of Course I Don't Look Busy...I Did It Right The First Time.  Do Not Start With Me.  You Will Not Win.  Sorry If I Looked Interested.  I'm Not.  If You Want Breakfast In Bed, Sleep In The Kitchen.
178	Wordplay	What did the number 0 say to the number 8?  "Hey, nice belt!"
179	Anti-joke	Hickory, Dickory Dock Three mice ran up the clock The clock struck one...  The rest got away with minor injuries
180	Wordplay	Want to hear a clean joke? Bob took a bath with bubbles.  Want to hear a dirty joke? Bubbles is Bobs neighbor.
181	Mockery	Q: What do you get when you cross the Atlantic Ocean with the Titanic?  A: Halfway.
182	Wordplay	Q. Why don't witches like to ride their brooms when they're angry?  A. They're afraid of flying off the handle!
183	Wordplay	Never accept a drink from a urologist, nor a friendly handshake from a proctologist.
184	Mockery	Never get into fights with ugly people, they have nothing to lose.
185	Dry	When putting cheese in a mousetrap, always leave room for the mouse.
186	Dry	Sometimes you are the dog. Sometimes you are the hydrant
187	Mockery	Everyone has a right to be stupid. Some just abuse the privilege.
188	Random/Absurd	Whatever hits the fan will not be evenly distributed.
189	Satire/Parody	Be a good housekeeper. When you leave him ... get a good lawyer ...keep his house
190	Satire/Parody	Gardening Rule: When weeding, the best way to make sure you are removing a weed and not a valuable plant is to pull on it. If it comes out of the ground easily, it is a valuable plant.
191	Dry	The easiest way to find something lost around the house is to buy a replacement.
192	Dry	Never take life seriously. Nobody gets out alive anyway.
193	Random/Absurd	There are two kinds of pedestrians -- the quick and the dead.
194	Anti-joke	Life is sexually transmitted.
195	Dry	An unbreakable toy is useful for breaking other toys.
196	Dry	Health is merely the slowest possible rate at which one can die.
197	Dry	The only difference between a rut and a grave is the depth.
198	Satire/Parody	Health nuts are going to feel stupid someday, lying in hospitals dying of nothing.
199	Dry	Get the last word in: Apologize.
200	Dry	Some people are like Slinkies...not really good for anything, but you still can't help but smile when you see one tumble down the stairs.
201	Satire/Parody	Why does a slight tax increase cost you two hundred dollars and a substantial tax cut saves you thirty cents?
202	Satire/Parody	How is it one careless match can start a forest fire, but it takes a whole box to start a campfire?
203	Wordplay	Some people say that I'm superficial, but that's just on the surface.
204	Wordplay	Now that food has replaced sex in my life, I can't even get into my own pants.
205	Satire/Parody	Marriage changes passion. Suddenly you're in bed with a relative.
206	Mockery	I saw a woman wearing a sweatshirt with "Guess" on it.   So I said "Implants?"   She hit me.
207	Dry	I don't do drugs.   I get the same effect just standing up fast.
208	Wordplay	Sign in a Chinese Pet Store: "Buy one dog, get one flea..."
209	Random/Absurd	I live in my own little world. But it's OK. They know me here.
210	Wordplay	I got a sweater for Christmas. I really wanted a screamer or a moaner.
211	Wordplay	If flying is so safe, why do they call the airport the terminal?
212	Satire/Parody	I don't approve of political jokes. I've seen too many of them get elected.
213	Mockery	There are two sides to every divorce: Yours and shithead's.
214	Satire/Parody	I love being married. It's so great to find that one special person you want to annoy for the rest of your life.
215	Anti-joke	Every day I beat my own previous record for number of consecutive days I've stayed alive.
216	Satire/Parody	How come we choose from just two people to run for president and 50 for Miss America?
217	Satire/Parody	Isn't having a smoking section in a restaurant like having a peeing section in a swimming pool?
218	Mockery	Why is it that most nudists are people you don't want to see naked?
219	Dry	Snowmen fall from Heaven unassembled.
220	Mockery	Every time I walk into a singles bar I can hear Mom's wise words: "Don't pick that up, you don't know where it's been!"
221	Wordplay	Not only am I redundant and superfluous, but I also tend to use more words than necessary.
222	Dry	Life is full of uncertainties...or could I be wrong about that?
223	Satire/Parody	A good friend will come and bail you out of jail...but, a true friend will be sitting next to you saying, "Damn...that was fun!"??
224	Wordplay	Energizer Bunny arrested - charged with battery.   A pessimist's blood type is always b-negative.   Practice safe eating - always use condiments.   A Freudian slip is when you say one thing but mean your mother.   Shotgun wedding: A case of wife or death.   I used to work in a blanket factory, but it folded.   If electricity comes from electrons... does that mean that morality comes from morons?   Marriage is the mourning after the knot before.
225	Wordplay	A hangover is the wrath of grapes.   Corduroy pillows are making headlines.   Is a book on voyeurism a peeping tome?   Dancing cheek-to-cheek is really a form of floor play.   Banning the bra was a big flop.   Sea captains don't like crew cuts.   Does the name Pavlov ring a bell?   A successful diet is the triumph of mind over platter.
226	Wordplay	Time flies like an arrow. Fruit flies like a banana.   A gossip is someone with a great sense of rumor.   Without geometry, life is pointless.   When you dream in color, it's a pigment of your imagination.   Condoms should be used on every conceivable occasion.   Reading whilst sunbathing makes you well-red.   When two egotists meet, it's an I for an I.   Alarms: What an octopus is.
227	Mockery	Crick: The sound that a Japanese camera makes.   Dockyard: A physician's garden.   Incongruous: Where bills are passed.   Khakis: What you need to start the car in Boston.   Oboe: An English tramp.   Pasteurize: Too far to see.   Propaganda: A gentlemanly goose.   Toboggan: Why we go to an auction
228	Wordplay	A bicycle can't stand alone because it is two tired.
229	Wordplay	She had a boyfriend with a wooden leg, but broke it off.
230	Wordplay	A chicken crossing the road is poultry in motion.
231	Wordplay	If you don't pay your exorcist you get repossessed.
232	Wordplay	When a clock is hungry it goes back four seconds.
233	Wordplay	Not to worry: the man who fell into an upholstery machine is fully recovered.
234	Mockery	The difference between the Pope and your boss....   The Pope only expects you to kiss his ring.
235	Mockery	My mind works like lightning. One brilliant flash and it is gone.
236	Dry	The only time the world beats a path to your door is if you're in the bathroom.
237	Satire/Parody	It used to be only death and taxes were inevitable. Now, of course there's shipping and handling, too.
238	Satire/Parody	A husband is someone who, after taking the trash out, gives the impression that he just cleaned the whole house.
239	Dry	My next house will have no kitchen -- just vending machines and a large trash can.
240	Mockery	A brunette said, "I was worried that my mechanic might try to rip me off. I was relieved when he told me all I needed was turn signal fluid."
241	Mockery	I'm so depressed. My doctor refused to write me a prescription for Viagra. He said it would be like putting a new flagpole on a condemned building.
242	Anti-joke	I hate sex in the movies. Tried it once. The seat folded up, the drink spilled and that ice, well, it really chilled the mood.
243	Satire/Parody	Definition of a teenager?   God's punishment for enjoying sex.
244	Dry	As we slide down the banister of life, may the splinters never point the wrong way.
245	Satire/Parody	Progress in airline flying;   Now a flight attendant can get a pilot pregnant.
246	Satire/Parody	I remember when sex was safe and flying was dangerous.
247	Satire/Parody	Flashlights are tubular metal containers kept in a flight bag for the purpose of storing dead batteries.
248	Satire/Parody	What is the similarity between air traffic controllers and pilots?   If a pilot screws up, the pilot dies; if ATC screws up, the pilot dies.
249	Mockery	You certainly look cool. "Thanks, you don't look so hot yourself."
250	Mockery	Never hold your farts in.  They travel up your spine, into your brain,  and that's where you get shitty ideas from.
251	Wordplay	A girl's legs are her best friends, but the best of friends must part. -- Redd Foxx
252	Wordplay	My karma ran over my dogma. -Anonymous
253	Wordplay	What do you get when you cross a donkey with an onion?  A piece of ass that brings tears to your eyes!
254	Dry	The journey of a thousand miles ...   begins with a broken fan belt and a leaky tire.
255	Dry	Sex is like air.  It's not important...   unless you aren't getting any.
256	Dry	Never test the depth of the water with both feet.
257	Dry	If you lend someone $20 and never see that person again...  It was probably worth it.
258	Dry	Some days you are the bug.  Some days you are the windshield.
259	Dry	Don't worry;   it only seems kinky the first time.
260	Dry	Good judgment comes from bad experience,   and a lot of that comes from bad judgment.
261	Mockery	There are two theories to arguing with women.  Neither one works.
262	Mockery	Generally speaking, you aren't learning much when your lips are moving.
263	Satire/Parody	We are born naked, wet and hungry, and get slapped on our ass... then things get worse.
264	Dry	Everyone seems normal until you get to know them
265	Satire/Parody	There is a fine line between "hobby" and "mental illness."
266	Wordplay	Waitress: "Would you like your coffee black?" Customer: "What other colors do you have?"
267	Anti-joke	Sam: "Where have I seen your face before?" Pam: "Right where it is now."
268	Mockery	I feel so miserable without you, it's almost like having you here. -Stephen Bishop   "I've just learned about his illness. Let's hope it's nothing trivial." - Irvin S. Cobb   "I have never killed a man, but I have read many obituaries with great pleasure." - Clarence Darrow   "He has never been known to use a word that might send a reader to the dictionary." - William Faulkner (about Ernest Hemingway)   "He is not only dull himself, he is the cause of dullness in others." -Samuel Johnson   "He had delusions of adequacy." - Walter Kerr   "I've had a perfectly wonderful evening. But this wasn't it."  -Groucho Marx   "I didn't attend the funeral, but I sent a nice letter saying I approved of it." - Mark Twain   "Some cause happiness wherever they go; others whenever they go." -Oscar Wilde   "He has no enemies, but is intensely disliked by his friends." -Oscar Wilde   "He has Van Gogh's ear for music." - Billy Wilder
269	Anti-joke	Reporters interviewing a 104 year-old woman: "And what do you think is the best thing about being 104?" the reporter asked.   She simply replied, "No peer pressure."
270	Dry	The nice thing about being senile is you can hide your own Easter eggs.
271	Wordplay	Practice safe eating ...Always use condiments.
272	Dry	Beauty is only a light switch away
273	Satire/Parody	Fighting for peace is like screwing for virginity.
274	Mockery	No matter how good she looks, some other guy is sick and tired of putting up with her shit.
275	Mockery	Make love, not war.   Hell, do both  GET MARRIED!
276	Mockery	A Woman's Rule of Thumb:  If it has, tires, or testicles, you're going to have trouble with it.
277	Wordplay	Q: What do you call a non-churchgoer?  A: A Seventh-Day Absentist
278	Satire/Parody	Mothers of teens know why animals eat their young.
279	Random/Absurd	Who eats cereal and plays golf?  Tony the Tiger Woods.
280	Wordplay	Why is it hard for dalmatians to play hide-and-seek?  Because they're always spotted!
281	Satire/Parody	What do you get when you aim a nuclear weapon at a disobedient country?  South Korean Barbecue.
282	Wordplay	What do you call a holy man that fries potatoes?  A chipmonk
283	Wordplay	What kind of coffee was served on the Titanic?  Sanka.
284	Mockery	What is the best thing about dating a homeless woman?  You can drop her off anywhere.
285	Satire/Parody	What is the difference between in-laws and outlaws?  Outlaws are wanted.
286	Mockery	What should a woman say to a man she's just had sex with?  Whatever she wants. He's sleeping.
287	Dry	After your hands become coated with grease, your nose will begin to itch.
288	Dry	If it jams, force it. If it breaks, it needed replacing anyway.
289	Wordplay	Interchangeable parts aren't.
290	Satire/Parody	The one item you need is always in short supply.
291	Satire/Parody	Never forget that your weapon was made by the lowest bidder!
292	Dry	I Give Evolution Two Opposable Thumbs Up.
293	Wordplay	Q:  What do you call a sheep that does karate? A:  A lamb chop
294	Anti-joke	Q:  Why are there so many Smiths in the phone book? A:  They all have phones.
295	Random/Absurd	Why are Democrats better than Republicans in bed? You've never heard of getting a good piece of elephant, have you?
296	Wordplay	God give me patience....And make it quick!
297	Wordplay	Q: What do you get when you cross a Scottish sheep with a Peruvian Mountain Goat?   A: The Dolly Llama.
298	Mockery	LOVE: A word involving four letters, two vowels, two consonants and two idiots. It refers to a disease that can be cured by marriage.  ARCHITECT: A guy not "macho" enough to be an engineer and not queer enough to be an interior designer.  TO DANCE: It refers to the vertical frustration of a horizontal desire.  BRAIN: An organ that allows us to think we think.  BOY SCOUT: A child dressed like an idiot guided by an idiot dressed like a child.  HEADACHE: A woman's most trustworthy modern contraceptive.  BUST: Statue of a man without hands or the parts of a woman where a man's hands have been.  ORAL EXAM: A test you must pass to become an intern in the White house.  A POLITICAL CANDIDATE: A person who gets money form the rich and votes from the poor in order to protect them from each other.  TONGUE: A sexual organ that some degenerates use in order to speak.  PRIEST: A person everyone calls "Father" except for his own children, who call him "Uncle".  EASY: It is said of a woman who has the sexual morality of a man.  MAN: A living thing who at the age of nine months emerges from a place to which we will try to return for the rest of this life.  INTELLECTUAL: A person capable of thinking for more than one hour about anything other than sex.  MODESTY: Knowing you are perfect without telling anyone.  NYMPHOMANIA: A term describing any woman who wants to have sex more often than a man.
299	Wordplay	What do fish paint with?  Water colours!
300	Wordplay	Where do fish keep their life savings?  At the river bank!
301	Dry	People who live in glass houses should make love in the basement.   Never read the fine print. There ain't no way you're going to like it.   If you let a smile be your umbrella, then most likely your ass will get soaking wet.   The only two things we do with greater frequency in middle age are urinate and attend funerals.   The trouble with bucket seats is that not everybody has the same size bucket.   To err is human, to forgive - highly unlikely   Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?   Money can't buy happiness -- but somehow it's more comfortable to cry in a Porsche than in a Hyundai.   Drinking makes some husbands see double and feel single..   Living in a nudist colony takes all the fun out of Halloween.   After a certain age, if you don't wake up aching in every joint, you are probably dead.
302	Random/Absurd	What's the nicest thing about a nudist wedding?  You don't have to ask - you can see who the best man is.
303	Anti-joke	What has a whole bunch of little balls and screws old ladies?  A bingo machine
304	Mockery	True bravery is arriving home late after a boy's night out, being assaulted by your wife with a broom, and still having the guts to ask: Are you still cleaning, or are you flying somewhere?
305	Wordplay	What is the definition of wicker box?  It's what Elmer Fudd wants to do to Madonna.
306	Wordplay	What does a Mexican firefighter name his twin sons?  Jose and Josbe
307	Satire/Parody	Proverb : Behind every successful man, there is a woman.  Refined by me : Behind every successful man, there is a very much surprised woman.
308	Random/Absurd	Q. Why do women prefer old gynecologists?  A. They have shaky hands!
309	Random/Absurd	Q: What's green, has 3 eyes, sharp teeth, and blood on its face?  A: I don't know, but it's on your shoulder!
310	Wordplay	Why do seagulls fly over the sea? Because if they flew over the bay, they'd be called bagels!
311	Satire/Parody	Why do you need a driver's license to buy liquor when you can't drink and drive?
312	Wordplay	What do you call a rabbit who tells jokes?  A FUNNY BUNNY!
313	Random/Absurd	My survey which I conducted said that 8 out of 4 people don't understand fractions.
314	Mockery	Hey! I recognize you! You're the third one over on the evolutionary scale!
315	Wordplay	What do you call a black person that wants to be and acts just like Jackie Chan? Blackie Chan
316	Satire/Parody	Why do psychics ask so many questions when they supposedly already know the answers?
317	Random/Absurd	All believers in telekinesis raise my hand!
318	Dry	I couldn't fix your brakes, so instead I made your horn louder.
319	Wordplay	What starts with the letter F and ends in UCK?   FiretrUCK
320	Wordplay	Q: What do you call a schizophrenic Buddhist?  A: Someone who is at two with the universe.
321	Wordplay	Q: What did baby corn say to mama corn?  A: Where's pop corn?
322	Wordplay	I went into a restaurant that served 'breakfast at any time'. So, I asked for French Toast in the time of the Renaissance
323	Anti-joke	Q: How many people does it take to change a lightbulb? A: Depends on how many lightbulbs need changing.
